"Date","Amount","Charge","Utr","Status"
"07 May 2024 16:38:58","1000","5","412808595154","TRANSACTION_CREDIT"
"07 May 2024 16:38:54","500","2.5","412852585457","TRANSACTION_CREDIT"
"07 May 2024 16:38:29","700","3.5","412865261098","TRANSACTION_CREDIT"
"07 May 2024 16:37:14","600","3","412852486464","TRANSACTION_CREDIT"
"07 May 2024 16:36:05","2500","12.5","412810624069","TRANSACTION_CREDIT"
"07 May 2024 16:35:46","2000","10","412862713121","TRANSACTION_CREDIT"
"07 May 2024 16:34:24","500","2.5","412876739444","TRANSACTION_CREDIT"
"07 May 2024 16:33:51","500","2.5","412803314706","TRANSACTION_CREDIT"
"07 May 2024 16:31:06","2000","10","412895715822","TRANSACTION_CREDIT"
"07 May 2024 16:30:55","2000","10","412828669636","TRANSACTION_CREDIT"
"07 May 2024 16:30:25","500","2.5","412836907526","TRANSACTION_CREDIT"
"07 May 2024 16:28:51","1500","7.5","412834539880","TRANSACTION_CREDIT"
"07 May 2024 16:28:37","700","3.5","412824538876","TRANSACTION_CREDIT"
"07 May 2024 16:28:25","1000","5","412861211231","TRANSACTION_CREDIT"
"07 May 2024 16:27:45","1000","5","412805589649","TRANSACTION_CREDIT"
"07 May 2024 16:27:23","700","3.5","412836692117","TRANSACTION_CREDIT"
"07 May 2024 16:26:28","2500","12.5","412842223288","TRANSACTION_CREDIT"
"07 May 2024 16:24:51","1000","5","412860944161","TRANSACTION_CREDIT"
"07 May 2024 16:24:00","500","2.5","412867242613","TRANSACTION_CREDIT"
"07 May 2024 16:23:10","2000","10","412806596132","TRANSACTION_CREDIT"
"07 May 2024 16:23:08","1000","5","412887869139","TRANSACTION_CREDIT"
"07 May 2024 16:22:52","1000","5","412866521452","TRANSACTION_CREDIT"
"07 May 2024 16:22:16","1600","8","412826840133","TRANSACTION_CREDIT"
"07 May 2024 16:21:14","2500","12.5","412821421307","TRANSACTION_CREDIT"
"07 May 2024 16:20:35","500","2.5","412843792785","TRANSACTION_CREDIT"
"07 May 2024 16:19:26","1000","5","412816321928","TRANSACTION_CREDIT"
"07 May 2024 16:19:24","2500","12.5","412885545113","TRANSACTION_CREDIT"
"07 May 2024 16:18:52","2000","10","412876335592","TRANSACTION_CREDIT"
"07 May 2024 16:17:05","500","2.5","412817408709","TRANSACTION_CREDIT"
"07 May 2024 16:15:04","2000","10","412873173666","TRANSACTION_CREDIT"
"07 May 2024 16:15:00","19000","95","412877190722","TRANSACTION_CREDIT"
"07 May 2024 16:14:16","1500","7.5","412857320436","TRANSACTION_CREDIT"
"07 May 2024 16:12:36","5000","25","449426467276","TRANSACTION_CREDIT"
"07 May 2024 16:11:42","1500","7.5","412859225554","TRANSACTION_CREDIT"
"07 May 2024 16:10:52","821","4.11","412883279333","TRANSACTION_CREDIT"
"07 May 2024 16:09:44","2000","10","412879229935","TRANSACTION_CREDIT"
"07 May 2024 16:09:29","2000","10","412807292743","TRANSACTION_CREDIT"
"07 May 2024 16:08:53","500","2.5","412836296123","TRANSACTION_CREDIT"
"07 May 2024 16:07:38","1300","6.5","412818769414","TRANSACTION_CREDIT"
"07 May 2024 16:04:38","1050","5.25","412877990971","TRANSACTION_CREDIT"
"07 May 2024 16:04:15","1000","5","412896963043","TRANSACTION_CREDIT"
"07 May 2024 16:03:45","2000","10","412877767139","TRANSACTION_CREDIT"
"07 May 2024 16:03:26","2000","10","412821175806","TRANSACTION_CREDIT"
"07 May 2024 16:01:02","1000","5","412843510134","TRANSACTION_CREDIT"
"07 May 2024 16:00:44","2000","10","412875330800","TRANSACTION_CREDIT"
"07 May 2024 15:59:15","800","4","412814024144","TRANSACTION_CREDIT"
"07 May 2024 15:59:04","1080","5.4","449492099021","TRANSACTION_CREDIT"
"07 May 2024 15:58:46","2000","10","412818013010","TRANSACTION_CREDIT"
"07 May 2024 15:56:57","1000","5","412851067270","TRANSACTION_CREDIT"
"07 May 2024 15:56:45","3447","17.23","412815276406","TRANSACTION_CREDIT"
"07 May 2024 15:55:18","2000","10","412879886805","TRANSACTION_CREDIT"
"07 May 2024 15:51:16","9500","47.5","412825787159","TRANSACTION_CREDIT"
"07 May 2024 15:50:43","1000","5","412832939465","TRANSACTION_CREDIT"
"07 May 2024 15:49:37","10000","50","412842595482","TRANSACTION_CREDIT"
"07 May 2024 15:47:27","1500","7.5","412864498423","TRANSACTION_CREDIT"
"07 May 2024 15:47:03","600","3","412853451888","TRANSACTION_CREDIT"
"07 May 2024 15:47:00","2000","10","412876851092","TRANSACTION_CREDIT"
"07 May 2024 15:46:26","2000","10","412800054153","TRANSACTION_CREDIT"
"07 May 2024 15:45:11","1000","5","412848601893","TRANSACTION_CREDIT"
"07 May 2024 15:45:03","1000","5","412837795853","TRANSACTION_CREDIT"
"07 May 2024 15:43:14","1000","5","412881090159","TRANSACTION_CREDIT"
"07 May 2024 15:43:04","5000","25","412825532899","TRANSACTION_CREDIT"
"07 May 2024 15:41:37","2000","10","412836273442","TRANSACTION_CREDIT"
"07 May 2024 15:41:13","2000","10","449498825001","TRANSACTION_CREDIT"
"07 May 2024 15:38:53","2500","12.5","412893516483","TRANSACTION_CREDIT"
"07 May 2024 15:38:56","650","3.25","412850668451","TRANSACTION_CREDIT"
"07 May 2024 15:38:50","770","3.85","412897292144","TRANSACTION_CREDIT"
"07 May 2024 15:36:26","2500","12.5","412876611068","TRANSACTION_CREDIT"
"07 May 2024 15:35:15","1500","7.5","412864899349","TRANSACTION_CREDIT"
"07 May 2024 15:35:02","500","2.5","412815122583","TRANSACTION_CREDIT"
"07 May 2024 15:34:26","1500","7.5","412840413636","TRANSACTION_CREDIT"
"07 May 2024 15:33:52","1000","5","412815310089","TRANSACTION_CREDIT"
"07 May 2024 15:33:41","2000","10","412831036540","TRANSACTION_CREDIT"
"07 May 2024 15:31:07","2000","10","412802640910","TRANSACTION_CREDIT"
"07 May 2024 15:28:43","1000","5","412819160119","TRANSACTION_CREDIT"
"07 May 2024 15:27:55","2000","10","412811436299","TRANSACTION_CREDIT"
"07 May 2024 15:26:58","1000","5","412827005096","TRANSACTION_CREDIT"
"07 May 2024 15:26:57","500","2.5","412833924658","TRANSACTION_CREDIT"
"07 May 2024 15:23:58","1000","5","412839765939","TRANSACTION_CREDIT"
"07 May 2024 15:23:28","1000","5","449497712950","TRANSACTION_CREDIT"
"07 May 2024 15:23:12","500","2.5","412824914603","TRANSACTION_CREDIT"
"07 May 2024 15:23:06","500","2.5","412874754156","TRANSACTION_CREDIT"
"07 May 2024 15:22:53","1000","5","412871011132","TRANSACTION_CREDIT"
"07 May 2024 15:20:46","1000","5","449490318684","TRANSACTION_CREDIT"
"07 May 2024 15:20:30","500","2.5","412850676999","TRANSACTION_CREDIT"
"07 May 2024 15:19:21","500","2.5","412842926837","TRANSACTION_CREDIT"
"07 May 2024 15:14:52","10000","50","412879630882","TRANSACTION_CREDIT"
"07 May 2024 15:13:20","1000","5","449469616817","TRANSACTION_CREDIT"
"07 May 2024 15:12:41","1000","5","412854050873","TRANSACTION_CREDIT"
"07 May 2024 15:12:33","600","3","412871827106","TRANSACTION_CREDIT"
"07 May 2024 15:10:26","2000","10","412854266628","TRANSACTION_CREDIT"
"07 May 2024 15:10:15","500","2.5","412865828250","TRANSACTION_CREDIT"
